download_count,project
13803215,"aws-requests-auth"
13740615,"backcall"
13727255,"docker-pycreds"
13718905,"jupyter-lsp"
13693717,"django"
13658551,"opentelemetry-exporter-otlp-proto-http"
13578778,"faker"
13541415,"azure-keyvault-secrets"
13540132,"click-plugins"
13463235,"langchain-core"
13384221,"tensorstore"
13342814,"prettytable"
13251108,"argparse"
13193567,"tox"
13184457,"backports-zoneinfo"
13178496,"plotly"
13177218,"astunparse"
13150517,"kafka-python"
13138450,"confluent-kafka"
13126241,"wandb"
13119229,"zeep"
12974624,"gsutil"
12956766,"trio"
12879193,"semantic-version"
12871386,"pymssql"
12839688,"gcsfs"
12839638,"retrying"
12811961,"dataclasses"
12774227,"aws-sam-translator"
12769712,"opentelemetry-exporter-otlp-proto-grpc"
12686708,"sshtunnel"
12533057,"graphql-core"
12490834,"scikit-image"
12431527,"mlflow"
12404477,"pydata-google-auth"
12388774,"libcst"
12385416,"outcome"
12345541,"coloredlogs"
12203142,"snowballstemmer"
12133599,"tblib"
12110443,"google-cloud-audit-log"
12096371,"hatchling"
12067536,"rfc3986"
12064570,"delta-spark"
12021939,"jaraco-functools"
12005922,"inflection"
11959693,"xxhash"
11921399,"tensorflow-io-gcs-filesystem"
11855913,"makefun"
11808817,"deprecation"
11755119,"pydeequ"
11715020,"azure-mgmt-resource"
11623015,"torchvision"
11418447,"colorlog"
11360960,"docstring-parser"
11296111,"azure-datalake-store"
11275435,"querystring-parser"
11265315,"jaraco-context"
11246844,"nvidia-nvjitlink-cu12"
11164370,"libclang"
11161444,"pipenv"
11133750,"fastavro"
11063831,"imbalanced-learn"
11032165,"tiktoken"
11007394,"pytest-metadata"
10986926,"azure-nspkg"
10904122,"aniso8601"
10862630,"google-cloud-firestore"
10841405,"opentelemetry-exporter-otlp"
10810104,"flask-appbuilder"
10769879,"unidecode"
10742602,"triton"
10669029,"ruff"
10515995,"zstandard"
10506036,"docopt"
10500988,"simple-salesforce"
10478696,"pywavelets"
10476125,"s2sphere"
10455262,"trio-websocket"
10452168,"gspread"
10405081,"contextlib2"
10395885,"deepdiff"
10385921,"configparser"
10283830,"dbt-core"
10282660,"azure-storage-common"
10217128,"opencensus-ext-azure"
10195596,"tldextract"
10152905,"datasets"
10150149,"pybind11"
10105842,"nvidia-nccl-cu12"
10104768,"opencensus-context"
10094498,"opencensus"
10059960,"ninja"
10041780,"jsonpickle"
9950095,"graphviz"
9916163,"gevent"
9884229,"google-cloud-kms"
9865940,"backports-tarfile"
9819044,"uv"
9813059,"imagesize"
9780240,"tensorflow-serving-api"
9680904,"zope-event"
9661209,"ml-dtypes"
9648518,"apache-airflow-providers-snowflake"
9638904,"fastapi-cli"
9619399,"alabaster"
9607696,"pysftp"
9577307,"sphinxcontrib-serializinghtml"
9547910,"azure-mgmt-storage"
9538156,"datetime"
9534952,"google-cloud-container"
9389074,"google-cloud-dlp"
9382364,"apispec"
9381071,"catalogue"
9344944,"wasabi"
9337661,"typing"
9337407,"sphinxcontrib-htmlhelp"
9323215,"azure-graphrbac"
9302680,"google-cloud-monitoring"
9301374,"sphinxcontrib-qthelp"
9299982,"sphinxcontrib-devhelp"
9292666,"ndg-httpsclient"
9290945,"langchain-community"
9271612,"google-cloud-dataproc"
9269231,"sphinxcontrib-applehelp"
9218530,"srsly"
9196611,"cymem"
9189199,"langchain"
9180959,"dask"
9134558,"brotli"
9127739,"nvidia-cudnn-cu12"
9122232,"murmurhash"
9107640,"pytest-html"
9087188,"nvidia-cublas-cu12"
9086883,"spacy"
9071979,"preshed"
9045469,"sphinxcontrib-jsmath"
9020982,"nvidia-cuda-nvrtc-cu12"
8985199,"azure-cosmos"
8907299,"watchtower"
8906276,"pytest-asyncio"
8895950,"omegaconf"
8866089,"jira"
8855003,"nvidia-cuda-runtime-cu12"
8845958,"pywin32"
8830723,"nvidia-cuda-cupti-cu12"
8821136,"ecdsa"
8813657,"nvidia-cufft-cu12"
8812094,"nvidia-cusparse-cu12"
8809198,"nvidia-cusolver-cu12"
8767813,"nvidia-curand-cu12"
8746454,"celery"
8711925,"mashumaro"
8702162,"apache-airflow-providers-databricks"
8695537,"mdit-py-plugins"
8671738,"freezegun"
8655973,"nvidia-nvtx-cu12"
8599414,"python-gnupg"
8577929,"kombu"
8570359,"azure-keyvault-keys"
8568250,"azure-keyvault"
8566838,"google-cloud-vision"
8544879,"applicationinsights"
8536208,"google-cloud-tasks"
8471796,"azure-mgmt-containerregistry"
8465531,"looker-sdk"
8444578,"google-cloud-datacatalog"
8437454,"thinc"
8418589,"google-cloud-spanner"
8418321,"amqp"
8417534,"apache-airflow-providers-google"
8411735,"flask-cors"
8408410,"pyathena"
8396943,"pyroaring"
8363819,"google-cloud-bigquery-datatransfer"
8324176,"authlib"
8321557,"invoke"
8239500,"billiard"
8219932,"python-daemon"
8177417,"pypdf2"
8157555,"pyproj"
8144447,"cfn-lint"
8118492,"google-cloud-build"
8081821,"blis"
8081735,"inject"
8074974,"azure-mgmt-authorization"
8068496,"vine"
8052518,"djangorestframework"
8044940,"google-ads"
8015437,"boto"
8001590,"types-pyyaml"
7989557,"azure-mgmt-network"
7979950,"pycrypto"
7942855,"pathlib2"
7928226,"apache-airflow-providers-http"
7884517,"pycountry"
7851710,"texttable"
7831831,"azure-mgmt-keyvault"
7817321,"agate"
7799175,"ijson"
7768544,"google-cloud-bigtable"
7768437,"python-magic"
7723172,"pytimeparse"
7642681,"google-cloud-dataplex"
7620466,"pyproject-api"
7612238,"google-cloud-workflows"
7606223,"graphene"
7590946,"graphql-relay"
7588085,"bitarray"
7583178,"avro-python3"
7573115,"hpack"
7570796,"moto"
7548866,"azure-cli"
7543166,"google-cloud-redis"
7533777,"azure-mgmt-compute"
7465076,"flit-core"
7456672,"azure-storage-queue"
7423920,"google-cloud-automl"
7422835,"humanize"
7386459,"h2"
7386386,"hyperframe"
7361523,"pip-tools"
7321433,"opentelemetry-instrumentation"
7305096,"einops"
7304730,"lightgbm"
7289331,"cligj"
7287575,"mypy-boto3-rds"
7260790,"apscheduler"
7256734,"langsmith"
7228779,"parsedatetime"
7205697,"azure-mgmt-cosmosdb"
7166803,"accelerate"
7156561,"holidays"
7154704,"google-cloud-os-login"
7137177,"tensorflow-text"
7136529,"python-jose"
7121845,"google-cloud-language"
7108113,"gradio"
7103447,"google-cloud-videointelligence"
7097017,"google-cloud-memcache"
7067630,"mypy-boto3-s3"
7028416,"jpype1"
7009057,"stevedore"
6997560,"apache-airflow-providers-ssh"
6989716,"python-http-client"
6966527,"azure-data-tables"
6961002,"apache-airflow-providers-mysql"
6956217,"azure-mgmt-msi"
6932332,"funcsigs"
6903631,"time-machine"
6886100,"sh"
6880425,"shap"
6799508,"enum34"
6798789,"avro"
6779350,"datadog-api-client"
6720137,"azure-mgmt-containerinstance"
6709313,"pyarrow-hotfix"
6700119,"ipython-genutils"
6697976,"jsondiff"
6687677,"cmake"
6686711,"office365-rest-python-client"
6684690,"azure-mgmt-redis"
6677053,"google-cloud-dataproc-metastore"
6672142,"apache-airflow-providers-fab"
6664977,"click-didyoumean"
6652667,"protobuf3-to-dict"
6642231,"fuzzywuzzy"
6627922,"azure-mgmt-sql"
6624638,"azure-mgmt-monitor"
6623799,"apache-beam"
6617794,"langcodes"
6612782,"azure-mgmt-nspkg"
6604583,"ratelimit"
6599016,"cssselect"
6589756,"click-repl"
6589233,"google-cloud-orchestration-airflow"
6588753,"universal-pathlib"
6566033,"azure-servicebus"
6539839,"aws-psycopg2"
6525658,"fire"
6524086,"resolvelib"
6514260,"elastic-transport"
6511862,"azure-cli-core"
6497969,"fabric"
6479685,"azure-mgmt-web"
6478372,"botocore-stubs"
6471574,"flask-sqlalchemy"
6470588,"tifffile"
6466948,"azure-mgmt-recoveryservices"
6465227,"knack"
6462385,"boto3-stubs"
6458183,"azure-mgmt-containerservice"
6450903,"yamllint"
6449390,"spacy-legacy"
6447889,"hypothesis"
6427405,"google-cloud-dataform"
6422758,"futures"
6405891,"readme-renderer"
6388153,"scp"
6353940,"google-cloud-translate"
6351323,"azure-mgmt-dns"
6343990,"mysqlclient"
6341140,"qtconsole"
6336579,"pyspnego"
6336264,"levenshtein"
6331316,"azure-mgmt-servicebus"
6309960,"azure-batch"
6293022,"nose"
6282800,"polars"
6279310,"sendgrid"
6275859,"spacy-loggers"
6254429,"azure-mgmt-signalr"
6202783,"azure-mgmt-datalake-nspkg"
6202239,"twine"
6198324,"dateparser"
6196754,"pytest-timeout"
6190046,"confection"
6184494,"azure-mgmt-batch"
6182104,"azure-mgmt-datalake-store"
6179310,"astor"
6177775,"parse"
6161108,"azure-mgmt-rdbms"
6157349,"parameterized"
6139165,"cramjam"
6133525,"onnxruntime"
6127599,"fasteners"
