download_count,project
55119367,"langgraph-checkpoint"
54853934,"pymssql"
54775041,"aws-sam-translator"
54592845,"google-cloud-spanner"
54458936,"altair"
54324771,"humanfriendly"
54059510,"nh3"
54038980,"vine"
53999713,"types-s3transfer"
53922695,"amqp"
53917432,"synchronicity"
53634981,"billiard"
53469832,"google-cloud-appengine-logging"
53370538,"xgboost"
53316760,"semantic-version"
53309834,"ijson"
53079055,"browser-use"
52958339,"outcome"
52745996,"ormsgpack"
52710104,"cssselect2"
52570106,"click-didyoumean"
52431980,"nvidia-nccl-cu12"
52241755,"click-repl"
52193772,"gevent"
52058577,"mypy-boto3-s3"
52035930,"cuda-pathfinder"
51984931,"antlr4-python3-runtime"
51948301,"libcst"
51713163,"peewee"
51676158,"inflection"
51653224,"webcolors"
51459453,"pyspark"
51359048,"apscheduler"
50665879,"fakeredis"
50652258,"setproctitle"
50649753,"isoduration"
50138807,"cuda-bindings"
50117128,"opencv-python-headless"
49870899,"boto3-stubs"
49744022,"gcloud-aio-auth"
49653715,"opentelemetry-instrumentation-urllib3"
49642470,"mistralai"
49550032,"mysql-connector-python"
49463521,"opentelemetry-instrumentation-dbapi"
49447938,"google-cloud-translate"
49300844,"posthog"
49299860,"azure-monitor-opentelemetry-exporter"
49242571,"rich-click"
48831718,"pywin32"
48636489,"requests-aws4auth"
48603783,"opentelemetry-instrumentation-wsgi"
48406861,"langchain-text-splitters"
48382452,"google-cloud-audit-log"
48381180,"opentelemetry-instrumentation-django"
48344854,"google-cloud-container"
48289711,"opentelemetry-instrumentation-psycopg2"
48260681,"hypothesis"
48158538,"async-lru"
47784628,"dateparser"
47673713,"tableauserverclient"
47388042,"langchain-community"
47377426,"moto"
47249864,"ddtrace"
47190915,"google-cloud-datacatalog"
47111997,"openapi-spec-validator"
47100243,"fqdn"
47028806,"db-dtypes"
46983440,"gcloud-aio-storage"
46735284,"uri-template"
46597030,"fastcore"
46428750,"opentelemetry-instrumentation-flask"
46407663,"bracex"
46264574,"gspread"
45892945,"opentelemetry-instrumentation-urllib"
45861310,"apache-airflow-providers-common-sql"
45854144,"python-jose"
45760485,"h5py"
45741179,"fastavro"
45723143,"statsmodels"
45723141,"filetype"
45697217,"limits"
45482103,"seaborn"
45465590,"send2trash"
45139783,"rfc3986"
45059954,"rfc3986-validator"
44916330,"pg8000"
44831557,"thrift"
44745746,"opentelemetry-instrumentation-logging"
44712927,"jupyterlab-server"
44628688,"widgetsnbextension"
44620255,"google-cloud-storage-transfer"
44549468,"adal"
44311633,"pinotdb"
44229194,"msgspec"
44156508,"wcmatch"
44096150,"ply"
44077480,"jupyterlab-widgets"
44025406,"torchvision"
43993582,"mlflow-skinny"
43925043,"lazy-object-proxy"
43906767,"imageio"
43682309,"ipywidgets"
43612249,"pyodbc"
43607703,"nvidia-cublas"
43297720,"stripe"
43284788,"omegaconf"
43231966,"nvidia-cuda-nvrtc"
43189183,"nvidia-nvjitlink"
43125763,"nvidia-cudnn-cu13"
43086624,"jupyter-events"
43044472,"nvidia-nccl-cu13"
43016646,"python-telegram-bot"
42981579,"zeep"
42832452,"unidiff"
42724070,"mlflow"
42690252,"nvidia-cusparselt-cu13"
42670971,"realtime"
42582057,"terminado"
42538846,"bytecode"
42207426,"nvidia-nvshmem-cu13"
42168725,"pyright"
42137738,"overrides"
42085601,"nvidia-cusparse"
41982861,"jupyter-server-terminals"
41971802,"rignore"
41969755,"graphql-relay"
41911695,"nest-asyncio2"
41840134,"pyrsistent"
41769301,"cuda-toolkit"
41694885,"nvidia-cufft"
41655456,"readme-renderer"
41655450,"nvidia-cusolver"
